,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Brown,1,12,7,27.45011473,2.624998,2.75,2.25,8,6,4,5,8,,5,5,7,6,7,7,5,4,7
Columbia,2,8,8,0,1.749997,1.75,1.75,5,8,6,8,6,,8,7,5,5,3,5,3,8,6
Cornell,3,7,3,72.41151774,5.999996,7,3,4,2,2,4,4,,7,5,4,6,7,5,8,6,5
Dartmouth,4,6,6,36.60813265,3.062495,3.75,1,5,3,8,6,5,,6,8,8,6,6,4,6,6,8
Harvard,5,3,5,68.04105266,5.499994,4,10,2,5,5,7,6,,2,1,1,2,4,1,1,1,1
Pennsylvania,6,2,4,72.41149279,5.999993,5.5,7.5,3,7,7,3,3,,4,4,1,4,5,7,6,5,2
Princeton,7,1,2,96.55073559,9.874992,10.75,7.25,5,3,1,1,1,,3,3,5,1,2,3,3,2,3
Yale,8,0,1,100,10.624991,11,9.5,1,1,2,1,2,,1,1,3,3,1,1,2,3,4
,,,,,,,,,,,,,,,,,,,,,,
Champions x2,,,,,,,,,Yale,,Princeton,,,,Yale,Pennsylvania,Princeton,,,,,
Regular Season,,5,,,,,,Yale,,Princeton,,Princeton,,Harvard,,,,Yale,,Harvard,Harvard,Harvard
Ivy Tournament,,3,,,,,,Pennsylvania,Yale,Yale,Princeton,Yale,,,Yale,Pennsylvania,Princeton,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Season,,,,,,,,YALE,YALE,PRIN,PT/YB,PRIN,n/a,HAR,HC/YB,HC/PQ,PRIN,YALE,HC/YB,HAR,HAR,HAR
Winner,,,,,,,,PENNSYLVANIA,YALE,YALE,PRINCETON,YALE,n/a,n/a,YALE,PENN,PRINCETON,,,,,
Loser,,,,,,,,YALE,CORN,BWN,YALE,PRIN,n/a,n/a,HAR,HAR,YALE,,,,,
