,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Michigan,1,10,,,,,,2,4,4,2,2,3,2,5,3,5,2,3,3
Michigan State,2,6,,,,,,1,1,1,5,7,7,6,7,7,6,5,2,5
Minnesota,3,5,,,,,,6,1,3,1,1,2,2,3,5,1,1,1,1
Notre Dame,4,4,,,,,,7,7,5,6,3,4,5,2,1,,,,
Ohio State,5,3,,,,,,5,3,7,4,4,6,2,1,2,3,4,5,4
Penn State,6,2,,,,,,3,5,6,3,5,5,1,4,4,4,3,4,6
Wisconsin,7,1,,,,,,4,6,2,7,5,1,7,5,6,2,6,6,2
,,,,,,,,,,,,,,,,,,,,
Champions x2,,,,,,,,,Michigan State,Michigan State,,,,,,Notre Dame,,,Minnesota,
Regular Season,,5,,,,,,Michigan State,Michigan State,Michigan State,Minnesota,Minnesota,Wisconsin,Penn State,Ohio State,Notre Dame,Minnesota,Minnesota,Minnesota,Minnesota
B1G Tournament,,3,,,,,,Michigan,Michigan State,Michigan State,Michigan,Michigan,Minnesota,,Notre Dame,Notre Dame,Penn State,Michigan,Minnesota,Wisconsin
,,,,,,,,,,,,,,,,,,,,
Season,,,,,,,,MICHIGAN STATE,MICHIGAN STATE,MICHIGAN STATE,MINNESOTA,MINNESOTA,WISCONSIN,PENN STATE,OHIO STATE,NOTRE DAME,MINNESOTA,MINNESOTA,MINNESOTA,MINNESOTA
Winner,,,,,,,,MICHIGAN,MICHIGAN STATE,MICHIGAN STATE,MICHIGAN,MICHIGAN,MINNESOTA,,NOTRE DAME,NOTRE DAME,PENN STATE,MICHIGAN,MINNESOTA,WISCONSIN
Loser,,,,,,,,OSU,OSU,MICH,MINN,MINN,WIS,n/a,PSU,OSU,WIS,MINN,MICH,OSU
