,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Atlanta,1,25,,,,,,14,9,6,11,5,12,2,2,4,,,,,
Charlotte,2,13,,,,,,4,5,9,9,,,,,,,,,,
Chicago,3,12,,,,,,8,15,13,12,12,11,8,10,3,10,10,9,6,4
Cincinnati,4,11,,,,,,2,3,1,5,14,14,12,,,,,,,
Columbus,5,10,,,,,,4,2,3,8,9,3,10,5,5,9,2,3,8,6
DC United,6,9,,,,,,15,10,12,14,8,13,5,4,11,4,4,1,10,2
Inter Miami,7,8,,,,,,3,1,14,6,11,10,,,,,,,,
Montreal,8,7,,,,,,13,8,10,2,10,9,9,7,9,5,3,10,5,7
Nashville,9,6,,,,,,6,14,7,5,3,7,,,,,,,,
New England,10,5,,,,,,11,13,5,10,1,8,7,8,7,7,5,2,3,9
New York City,12,3,,,,,,5,6,11,3,4,5,1,3,2,2,8,,,
NY Red Bulls,11,4,,,,,,10,7,8,4,7,6,6,1,6,1,1,4,1,3
Orlando,13,2,,,,,,9,4,2,7,6,4,11,11,10,8,7,,,
Philadelphia,14,1,,,,,,1,12,4,1,2,1,3,6,8,6,9,6,7,8
Toronto,15,0,,,,,,12,11,15,13,13,2,4,9,1,3,6,7,9,10
Austin,,,,,,,,6,10,12,2,12,,,,,,,,,
Colorado,,,,,,,,11,7,14,10,1,5,9,11,10,2,10,8,5,7
Dallas,,,,,,,,7,11,7,3,11,6,7,4,7,1,1,4,8,6
Houston,,,,,,,,12,5,4,13,13,12,10,9,4,10,8,8,4,5
LA Galaxy,,,,,,,,14,2,13,4,8,10,5,7,11,3,5,2,3,4
Los Angeles,,,,,,,,3,1,3,1,9,7,1,3,,,,,,
Minnesota,,,,,,,,4,6,11,6,5,4,4,10,9,,,,,
Portland,,,,,,,,8,9,10,8,4,3,6,5,1,7,3,6,1,8
Real Salt Lake,,,,,,,,9,3,5,7,7,11,3,6,8,6,9,3,2,2
San Diego,,,,,,,,1,,,,,,,,,,,,,
San Jose,,,,,,,,10,14,9,13,10,8,8,12,6,9,7,9,6,1
Seattle,,,,,,,,5,4,2,11,2,2,2,2,2,4,4,1,4,3
Sporting KC,,,,,,,,15,13,8,12,3,1,11,1,5,5,6,5,2,1
St. Louis,,,,,,,,13,12,1,,,,,,,,,,,
Vancouver,,,,,,,,2,8,6,9,6,9,12,8,3,8,2,5,7,5
,,,,,,,,,,,,,,,,,,,,,
Leagues Champ,,3,,,,,,Seattle,LA Galaxy,Inter Miami,,Leon,,Cruz Azul,,,,,,,
Leagues Final,,1,,,,,,Inter Miami,NY Red Bulls,Nashville,,Seattle,,Tigres,,,,,,,
Open Cup,,1,,,,,,Nashville,Los Angeles,Houston,Orlando,,,Atlanta,Houston,Sporting KC,Dallas,Sporting KC,Seattle,DC United,Sporting KC
,,,,,,,,,,,,,,,,,,,,,
MLS Cup,,,,,,,,INTER MIAMI,LA GALAXY,COLUMBUS,LOS ANGELES,NEW YORK CITY,COLUMBUS,SEATTLE,ATLANTA,TORONTO,SEATTLE,PORTLAND,LA GALAXY,SPORTING KC,LA GALAXY
,,,,,,,,VAN,NYRB,LAFC,PHI,POR,SEA,TOR,POR,SEA,TOR,CLB,NE,RSL,HOU
Open,,,,,,,,NASHVILLE,LOS ANGELES,HOUSTON,ORLANDO,n/a,n/a,ATLANTA,HOUSTON,SPORTING KC,DALLAS,SPORTING KC,SEATTLE,DC UNITED,SPORTING KC
,,,,,,,,ATX,SKC,MIA,SAC,n/a,n/a,MIN,PHI,NYRB,NE,PHI,PHI,RSL,SEA
Leagues,,,,,,,,SEATTLE,COLUMBUS,INTER MIAMI,n/a,LEON,n/a,CRUZ AZUL,,,,,,,
,,,,,,,,MIA,LAFC,NASH,n/a,SEA,n/a,UANL,,,,,,,
Champions,,,,,,,,CRUZ AZUL,PACHUCA,LEON,SEATTLE,MONTERREY,TIGRES,MONTERREY,GUADALAJARA,PACHUCA,AMERICA,AMERICA,CRUZ AZUL,MONTERREY,MONTERREY
,,,,,,,,VAN,CLB,LAFC,UNAM,AME,LAFC,UNAL,TOR,UNAL,UNAL,MON,TOU,SL,SL
